source,target,weight
1st Line Support/Helpdesk,Sales Manager,0.13854877062110948
1st Line Support/Helpdesk,Sales Support,0.21153513898954202
1st Line Support/Helpdesk,Search - SEO & PPC,0.14148519948430194
1st Line Support/Helpdesk,Secondary School,0.18708464998794339
1st Line Support/Helpdesk,Security,0.1796969104766615
1st Line Support/Helpdesk,Semi-skilled Operator,0.19542168526683076
1st Line Support/Helpdesk,Site Management,0.19912308321933012
1st Line Support/Helpdesk,Skilled Operator,0.20533220582978406
1st Line Support/Helpdesk,Software Developer,0.1727661267014088
1st Line Support/Helpdesk,Software Engineer,0.17606450611238691
1st Line Support/Helpdesk,Solicitor/Lawyer,0.20346221722388422
1st Line Support/Helpdesk,Special Needs,0.18443877813858747
1st Line Support/Helpdesk,Store Manager,0.1488140121713508
1st Line Support/Helpdesk,Store Staff,0.15927253215551368
1st Line Support/Helpdesk,Supply Chain,0.2127458339463904
1st Line Support/Helpdesk,Supply Teacher,0.18273416460708855
1st Line Support/Helpdesk,Support Worker,0.1889355036366071
1st Line Support/Helpdesk,Systems/Support Analyst,0.33691259430682496
1st Line Support/Helpdesk,Tax Accountant,0.1293811623884601
1st Line Support/Helpdesk,Teaching Assistant,0.18217943804099485
1st Line Support/Helpdesk,Team Leader,0.1743378731352226
1st Line Support/Helpdesk,Technical Architect,0.18941128809886987
1st Line Support/Helpdesk,Telesales,0.17949588875803751
1st Line Support/Helpdesk,Tester/Test Analyst,0.17008363677698957
1st Line Support/Helpdesk,Trades & Labour,0.20037754946645014
1st Line Support/Helpdesk,Trainee Consultant,0.14579464782557233
1st Line Support/Helpdesk,Transport Planner,0.17395149696779214
1st Line Support/Helpdesk,Utilities,0.2464477280626307
1st Line Support/Helpdesk,Valuer/Lister,0.14486880076798891
1st Line Support/Helpdesk,Vehicle Sales,0.17096485253767502
1st Line Support/Helpdesk,Vehicle Technician,0.19626238487870382
1st Line Support/Helpdesk,Waiting & Bar Staff,0.18541340202145284
1st Line Support/Helpdesk,Warehouse Operative,0.15578830590990558
1st Line Support/Helpdesk,Web Design,0.18746408260727362
1st Line Support/Helpdesk,Web Developer,0.15006502659599052
1st Line Support/Helpdesk,Welding/Plating/Pipefitting,0.18533319044505134
2nd Line Support,3rd Line Support,0.2915723738747942
2nd Line Support,Account Executive,0.1339158752640628
2nd Line Support,Account Handler,0.15278207458116658
2nd Line Support,Account Manager,0.14361201555000322
2nd Line Support,Accountancy Practice,0.14749138435770165
2nd Line Support,Accounts Admin,0.11882222091321586
2nd Line Support,Accounts Assistant,0.10718149407212642
2nd Line Support,Accounts Manager,0.11996319254425448
2nd Line Support,Administrator,0.1523027006857916
2nd Line Support,Adult Education,0.14172824630755287
2nd Line Support,Aftersales,0.14162594437485237
2nd Line Support,Analyst,0.1530218731701535
2nd Line Support,Analyst Prog/Dev,0.15467787293427826
2nd Line Support,Architecture,0.14312575981627954
2nd Line Support,Assistant Accountant,0.12000314719357422
2nd Line Support,Assistant Manager,0.08849250624793582
2nd Line Support,Automation,0.15576773665086985
2nd Line Support,Automotive,0.16086586536222783
2nd Line Support,Body Repair & Fit,0.1282768723974983
2nd Line Support,Bookkeeper,0.11360850470025524
2nd Line Support,Building Services Maintenance,0.15512786873450743
2nd Line Support,Building Surveying,0.1520341140693372
2nd Line Support,Business Analyst,0.16330283897898665
2nd Line Support,Business Development,0.1319932645829629
2nd Line Support,Buyer,0.12911312456905702
2nd Line Support,Call Centre - Inbound,0.14776037475986636
2nd Line Support,Care Assistant,0.11274072191348218
2nd Line Support,Care Manager,0.13707609669400514
2nd Line Support,Carer,0.13496642223327515
2nd Line Support,Chef de Partie,0.13370659042291083
2nd Line Support,Civil,0.15385983345249415
2nd Line Support,Claims,0.12333131464051862
2nd Line Support,Cleaner,0.13145622338285484
2nd Line Support,Compliance,0.13610853138447288
2nd Line Support,Consultant,0.19485121869870276
2nd Line Support,Conveyancing,0.14868464339159013
2nd Line Support,Credit Controller,0.10675408437065359
2nd Line Support,Customer Service Advisor,0.15540458788818054
2nd Line Support,Customer Service Assistant,0.12795102447570836
2nd Line Support,Customer Services Manager,0.1343953739994447
2nd Line Support,Data Entry,0.13437717945200053
2nd Line Support,Database Developer,0.1333554155077184
2nd Line Support,Design,0.15881126273991422
2nd Line Support,Digital Marketing,0.12837326207933336
2nd Line Support,Direct Sales,0.13221106604620506
2nd Line Support,Driving,0.1454905378745144
2nd Line Support,Education Administration,0.14724844798556674
2nd Line Support,Electrical,0.1613366685701617
2nd Line Support,Electronic,0.17270550967206083
2nd Line Support,Estate Agent,0.09746926159400132
2nd Line Support,Events Management,0.10456346113577715
2nd Line Support,Executive Assistant,0.12475369875702035
2nd Line Support,Facilities Management,0.1612676189699276
2nd Line Support,Field,0.15956466214397533
2nd Line Support,Field Sales,0.14246094823231548
2nd Line Support,Finance Director,0.11912273930786549
2nd Line Support,Finance Manager,0.1214502444632875
2nd Line Support,Financial Accountant,0.1254698228332648
2nd Line Support,Financial Controller,0.11469938682134519
2nd Line Support,Fundraising,0.1378551460399411
2nd Line Support,Further Education,0.14134189385096824
2nd Line Support,General Healthcare Assistant,0.13607005751598114
2nd Line Support,General Practice,0.13337850582308888
2nd Line Support,Graduate Training Schemes,0.14172237709782737
2nd Line Support,Graphic Design,0.12944863868803158
2nd Line Support,HR Administrator,0.11820769272810783
2nd Line Support,HR Advisor,0.11456987239009381
2nd Line Support,HR Assistant,0.10607317356022432
2nd Line Support,HR Business Partner,0.10225217923449245
2nd Line Support,HR Manager,0.10098056047566388
2nd Line Support,Housekeeper,0.1389817510374463
2nd Line Support,Housing,0.15997107215047993
2nd Line Support,IT Sales,0.13983097421099555
2nd Line Support,IT/Systems Manager,0.21396349112131585
2nd Line Support,Independent Financial Advisor,0.14580293370426817
2nd Line Support,Internal Recruiter,0.11103792796347432
2nd Line Support,Key Stage 1,0.13309082061940214
2nd Line Support,Key Stage 2,0.13344791839547637
2nd Line Support,Key Stage 3 & 4,0.1353617963312055
2nd Line Support,Kitchen Staff,0.13939025785608342
2nd Line Support,Learning & Development,0.13909354763489318
2nd Line Support,Learning Support Assistant,0.13643072022549227
2nd Line Support,Legal Secretary,0.14625264604136118
2nd Line Support,Lettings Negotiator,0.13328844994824512
2nd Line Support,Logistics,0.1663506163079416
2nd Line Support,Maintenance,0.15245733420869204
2nd Line Support,Management Accountant,0.12136062736381811
2nd Line Support,Management Accountant (Part-Qual.),0.11427747448264075
2nd Line Support,Manufacturing,0.16112607132650714
2nd Line Support,Marketing Assistant,0.12609456511273254
2nd Line Support,Marketing Executive,0.12239129193231911
2nd Line Support,Marketing Manager,0.11007722825054679
2nd Line Support,Mechanical,0.15713372612648827
2nd Line Support,Mortgage Advisor,0.1348488626351747
2nd Line Support,Network Security,0.1692119000141543
2nd Line Support,Nursery,0.13407481421787193
2nd Line Support,Occupational Therapy,0.1395080203864395
2nd Line Support,Office Assistant,0.12960067205278522
2nd Line Support,Office Manager,0.14509977582126266
2nd Line Support,Other,0.1753400537017973
2nd Line Support,Other Accountancy,0.1361735609641505
2nd Line Support,Other Accountancy Qualified,0.14911868297538014
2nd Line Support,Other Admin & Secretarial,0.15990098670378752
2nd Line Support,Other Banking,0.14936439712212934
2nd Line Support,Other Charity & Voluntary,0.16004069921209155
2nd Line Support,Other Construction & Property,0.15974863558435368
2nd Line Support,Other Customer Service,0.12241988561691415
2nd Line Support,Other Education,0.13074346063400968
2nd Line Support,Other Engineering,0.172253855603715
2nd Line Support,Other Estate Agency,0.1547459449680982
2nd Line Support,Other Financial Services,0.16361765864001665
2nd Line Support,Other Health & Medicine,0.14388107995683574
2nd Line Support,Other Hospitality & Catering,0.11966444410403627
2nd Line Support,Other Human Resources,0.14299877341559547
2nd Line Support,Other IT & Telecoms,0.20925771801576057
2nd Line Support,Other Legal,0.15774690622618762
2nd Line Support,Other Leisure & Tourism,0.15515361535813244
2nd Line Support,Other Manager,0.1581586693838101
2nd Line Support,Other Manufacturing,0.14485899891422727
2nd Line Support,Other Marketing & PR,0.1523126770843943
2nd Line Support,Other Media & Creative,0.14779245500597019
2nd Line Support,Other Motoring & Automotive,0.14832412368929446
2nd Line Support,Other Recruitment Consultancy,0.15344592089016454
2nd Line Support,Other Retail,0.045580565574871855
2nd Line Support,Other Sales,0.12584468649249592
2nd Line Support,Other Social Care,0.12231011185287072
2nd Line Support,Other Strategy & Consultancy,0.14353332858027928
2nd Line Support,Other Training,0.14568393577542482
2nd Line Support,Other Transport & Logistics,0.15131566244282282
2nd Line Support,PA,0.12633932433526326
2nd Line Support,Paralegal,0.1566327054680522
2nd Line Support,Paraplanning,0.1531060414125929
2nd Line Support,Part-Qualified Acc.,0.13286086036296652
2nd Line Support,Payroll,0.07825826520783538
2nd Line Support,Pensions,0.1455077311969928
2nd Line Support,Pharmaceutical,0.10809873352495784
2nd Line Support,Physiotherapy,0.139059582885551
2nd Line Support,Picker/Packer,0.1372136032384211
2nd Line Support,Practice (Non-Qual.),0.13165877534935203
2nd Line Support,Primary School,0.1377433373749554
2nd Line Support,Procurement Manager,0.11322282985093085
2nd Line Support,Production,0.14811025581137513
2nd Line Support,Production Manager,0.1259437394823372
2nd Line Support,Project Management,0.1305898191055652
2nd Line Support,Project Manager,0.1372636377129426
2nd Line Support,Project Support,0.13563413676548214
2nd Line Support,Project/Programme Manager,0.13054623749121483
2nd Line Support,Property Manager,0.13122902434286624
2nd Line Support,Property Sales,0.1309372997369631
2nd Line Support,Purchase Ledger Clerk,0.08656288210510488
2nd Line Support,Qualified Social Worker,0.14564328592022446
2nd Line Support,Quality Assurance,0.14831130646210575
2nd Line Support,Quality Control,0.15042470632238994
2nd Line Support,Quantity Surveyor/PQS,0.15105433165791257
2nd Line Support,Receptionist,0.13655342250244698
2nd Line Support,Recruitment & Resourcing,0.12771646399466918
2nd Line Support,Recruitment Consultant,0.12761415706981327
2nd Line Support,Registered Manager,0.1363428446153424
2nd Line Support,Registered Mental Health Nurse,0.1324172679741626
2nd Line Support,Registered Nurse Band 5,0.14245044289292855
2nd Line Support,Researcher/Resourcer,0.1406406620252906
2nd Line Support,Sales Administrator,0.13801882683514835
2nd Line Support,Sales Assistant,0.10686160380291203
2nd Line Support,Sales Executive,0.14137956793486361
2nd Line Support,Sales Manager,0.11760026260174475
2nd Line Support,Sales Support,0.15982197516549299
2nd Line Support,Search - SEO & PPC,0.11883793067749275
2nd Line Support,Secondary School,0.138071028606438
2nd Line Support,Security,0.13588248836211497
2nd Line Support,Semi-skilled Operator,0.14337588661719153
2nd Line Support,Site Management,0.15073616799837025
2nd Line Support,Skilled Operator,0.14787943796893907
2nd Line Support,Software Developer,0.13907709586363143
2nd Line Support,Software Engineer,0.14340062896652353
2nd Line Support,Solicitor/Lawyer,0.14791208552326543
2nd Line Support,Special Needs,0.13854210887942375
2nd Line Support,Store Manager,0.12149485909824136
2nd Line Support,Store Staff,0.12504316461216955
2nd Line Support,Supply Chain,0.1588538536867685
2nd Line Support,Supply Teacher,0.1357073588235996
2nd Line Support,Support Worker,0.1423866282397789
2nd Line Support,Systems/Support Analyst,0.25047918796141194
2nd Line Support,Tax Accountant,0.11133956648102253
2nd Line Support,Teaching Assistant,0.13739247378214964
2nd Line Support,Team Leader,0.13896579315619675
2nd Line Support,Technical Architect,0.16417769577136157
2nd Line Support,Telesales,0.13780031809125867
2nd Line Support,Tester/Test Analyst,0.13576119984829524
2nd Line Support,Trades & Labour,0.14437400024753952
2nd Line Support,Trainee Consultant,0.1204041398991488
2nd Line Support,Transport Planner,0.14154755531244131
2nd Line Support,Utilities,0.17008334699737798
2nd Line Support,Valuer/Lister,0.11720647337181408
2nd Line Support,Vehicle Sales,0.12913103166273002
2nd Line Support,Vehicle Technician,0.1418672117122819
2nd Line Support,Waiting & Bar Staff,0.1378116950358452
2nd Line Support,Warehouse Operative,0.12311992728103711
2nd Line Support,Web Design,0.1442648743375549
2nd Line Support,Web Developer,0.12401874513736533
2nd Line Support,Welding/Plating/Pipefitting,0.1386728048531758
3rd Line Support,Account Executive,0.12741673180010138
3rd Line Support,Account Handler,0.14506911249651577
3rd Line Support,Account Manager,0.13281451999876032
3rd Line Support,Accountancy Practice,0.1432358041482898
3rd Line Support,Accounts Admin,0.11272715357649365
3rd Line Support,Accounts Assistant,0.10371801259701176
3rd Line Support,Accounts Manager,0.11510973483576827
3rd Line Support,Administrator,0.13342842784001196
3rd Line Support,Adult Education,0.1391807758808403
3rd Line Support,Aftersales,0.13293245178199206
3rd Line Support,Analyst,0.14662094179285218
3rd Line Support,Analyst Prog/Dev,0.16622945423620283
3rd Line Support,Architecture,0.14129583626586004
3rd Line Support,Assistant Accountant,0.11585543231573049
3rd Line Support,Assistant Manager,0.08470009765608179
3rd Line Support,Automation,0.1523190847847182
3rd Line Support,Automotive,0.16047951265402272
3rd Line Support,Body Repair & Fit,0.12655820408624072
3rd Line Support,Bookkeeper,0.1096334650650579
3rd Line Support,Building Services Maintenance,0.15437955438371037
3rd Line Support,Building Surveying,0.14779250615009784
3rd Line Support,Business Analyst,0.15941273000452338
3rd Line Support,Business Development,0.12592401926716976
3rd Line Support,Buyer,0.12276563128079461
3rd Line Support,Call Centre - Inbound,0.1289186326473772
3rd Line Support,Care Assistant,0.11021261458632163
3rd Line Support,Care Manager,0.13482336704094786
3rd Line Support,Carer,0.13386041835871781
3rd Line Support,Chef de Partie,0.13342016964081194
3rd Line Support,Civil,0.15226925536489724
3rd Line Support,Claims,0.11625699488658164
3rd Line Support,Cleaner,0.13070062618587708
3rd Line Support,Compliance,0.13106209327243123
3rd Line Support,Consultant,0.21176368040088533
3rd Line Support,Conveyancing,0.14325214909475434
3rd Line Support,Credit Controller,0.10206993984383421
3rd Line Support,Customer Service Advisor,0.13481509627403893
3rd Line Support,Customer Service Assistant,0.11708812382373913
3rd Line Support,Customer Services Manager,0.12237292529467518
3rd Line Support,Data Entry,0.12541441603517034
3rd Line Support,Database Developer,0.14464980740506053
3rd Line Support,Design,0.15615373468224447
3rd Line Support,Digital Marketing,0.12364759699898745
3rd Line Support,Direct Sales,0.1248515308679594
3rd Line Support,Driving,0.14402233648250232
3rd Line Support,Education Administration,0.1367480628772908
3rd Line Support,Electrical,0.16387290588200543
3rd Line Support,Electronic,0.1751042615393959
3rd Line Support,Estate Agent,0.09486285953943027
3rd Line Support,Events Management,0.09840947299743234
3rd Line Support,Executive Assistant,0.11365182408354457
3rd Line Support,Facilities Management,0.15494684128522207
3rd Line Support,Field,0.15575422019635152
3rd Line Support,Field Sales,0.13696331769311546
3rd Line Support,Finance Director,0.11829046694011798
3rd Line Support,Finance Manager,0.1181461430967271
3rd Line Support,Financial Accountant,0.12131678740187662
3rd Line Support,Financial Controller,0.11353095413564249
3rd Line Support,Fundraising,0.13221858878021192
3rd Line Support,Further Education,0.1400170992539795
3rd Line Support,General Healthcare Assistant,0.13455923259022345
3rd Line Support,General Practice,0.13301330241516027
3rd Line Support,Graduate Training Schemes,0.13371987845968178
3rd Line Support,Graphic Design,0.12823774902295984
3rd Line Support,HR Administrator,0.11055412814262813
3rd Line Support,HR Advisor,0.10973637087289703
3rd Line Support,HR Assistant,0.10046433621055112
3rd Line Support,HR Business Partner,0.10012826451758523
3rd Line Support,HR Manager,0.09951427227584418
3rd Line Support,Housekeeper,0.1381439170345565
3rd Line Support,Housing,0.14793197198761557
3rd Line Support,IT Sales,0.13323294782397266
3rd Line Support,IT/Systems Manager,0.24256481583278588
3rd Line Support,Independent Financial Advisor,0.14236246429322036
3rd Line Support,Internal Recruiter,0.10769452972237663
3rd Line Support,Key Stage 1,0.1310366990098384
3rd Line Support,Key Stage 2,0.13267827504884175
3rd Line Support,Key Stage 3 & 4,0.13535655868391783
3rd Line Support,Kitchen Staff,0.13613043455237717
3rd Line Support,Learning & Development,0.1366807161463779
3rd Line Support,Learning Support Assistant,0.13579188180044363
3rd Line Support,Legal Secretary,0.13434542366551397
3rd Line Support,Lettings Negotiator,0.12430703979198639
3rd Line Support,Logistics,0.15588194224411347
3rd Line Support,Maintenance,0.15294856623098557
3rd Line Support,Management Accountant,0.11720785816664789
3rd Line Support,Management Accountant (Part-Qual.),0.10978617881221313
3rd Line Support,Manufacturing,0.16172142568815115
3rd Line Support,Marketing Assistant,0.11566005789533482
3rd Line Support,Marketing Executive,0.11706361083400826
3rd Line Support,Marketing Manager,0.10631931516258052
3rd Line Support,Mechanical,0.15721722744374123
3rd Line Support,Mortgage Advisor,0.12761031389315072
3rd Line Support,Network Security,0.1937027809503057
3rd Line Support,Nursery,0.13092252518154746
3rd Line Support,Occupational Therapy,0.13904214094799852
3rd Line Support,Office Assistant,0.11664235818494134
3rd Line Support,Office Manager,0.12936510477194624
3rd Line Support,Other,0.1645079688351929
3rd Line Support,Other Accountancy,0.13048978895995977
3rd Line Support,Other Accountancy Qualified,0.1439174775153697
